2026-03-22 15:19:59 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | ERROR    | src.core.base_crawler:_make_request:49 | All retries failed for https://api.paugram.com/netease/comment/?id=3360835405&type=song
2026-03-22 15:19:59 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360835405 from any endpoint
2026-03-22 15:19:59 | WARNING  | src.platforms.netease.crawler:get_comments:209 | No comments found for song 3360835405 from any endpoint
2026-03-22 15:19:59 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 完美偶像 Perfect Idol
2026-03-22 15:19:59 | INFO     | src.platforms.netease.crawler:search_and_get_comments:244 |   -> No comments found for 完美偶像 Perfect Idol
2026-03-22 15:20:00 | INFO     | src.platforms.netease.crawler:search_and_get_comments:248 | Completed. Processed 0 songs with comments
2026-03-22 15:20:00 | INFO     | src.platforms.netease.crawler:search_and_get_comments:248 | Completed. Processed 0 songs with comments
2026-03-22 15:20:00 | WARNING  | __main__:main:52 | No results found
2026-03-22 15:20:00 | WARNING  | __main__:main:52 | No results found
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:25:39 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:25:39 | INFO     | __main__:main:33 | ==================================================
2026-03-22 15:25:39 | INFO     | __main__:main:33 | ==================================================
2026-03-22 15:25:39 | INFO     | __main__:main:34 | Netease Music Crawler Started
2026-03-22 15:25:39 | INFO     | __main__:main:34 | Netease Music Crawler Started
